name,,location,address,,,,,food,cost ,,tablebooking,onlinedelivery,,,,rating,,Rating text,cuisines,food,cost
Al-Sameer,,New Delhi,"39 & 40, Arakashan Road, Paharganj, New Delhi",,,,,"North Indian, Mughlai",400,,No,No,,,,2.9,,Average,,"North Indian, Mughlai",400
Allure,,New Delhi,"65, D.B. Gupta Road, Paharganj, New Delhi",,,,,"North Indian, Chinese, Finger Food",600,,No,No,,,,2.8,,Average,,"North Indian, Chinese, Finger Food",600
BarShala,,New Delhi,"4, New Delhi Airport Express Mall, Opposite New Delhi Railway Station, Ajmeri Gate, Near Paharganj, New Delhi",,,,,Finger Food,600,,No,No,,,,3.1,,Average,,Finger Food,600
Bikaner House,,New Delhi,"1604, Main Bazar, Paharganj, New Delhi",,,,,"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai",500,,No,No,,,,3,,Average,,"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai",500
Cafe Coffee Day,,New Delhi,"Ground Floor, New Delhi Metro Station, Paharganj, New Delhi",,,,,Cafe,450,,No,No,,,,2.7,,Average,,Cafe,450
Cafe CoffeeCo,,New Delhi,"5111, Main Market, Gali Thanedarwali, Paharganj, New Delhi",,,,,Cafe,350,,No,No,,,,3.4,,Average,,Cafe,350
Cafe Festa,,New Delhi,"1832, Laxmi Narain Street, Chuna Mandi, Paharganj, New Delhi",,,,,"Cafe, North Indian, Fast Food",600,,No,Yes,,,,3.2,,Average,,"Cafe, North Indian, Fast Food",600
Cheers Lounge Bar,,New Delhi,"Plot 1, Block 88 A, Krishna Market, Main Bazaar, Paharganj, New Delhi",,,,,"North Indian, Chinese",1100,,Yes,No,,,,2.8,,Average,,"North Indian, Chinese",1100
Chowmein Hut,,New Delhi,"1346, Sangarashan, Paharganj, New Delhi",,,,,Chinese,200,,No,No,,,,2.9,,Average,,Chinese,200
Club India Cafe & Restaurant,,New Delhi,"4797, 2nd Floor, 6 Tooti Chowk, Paharganj, New Delhi",,,,,"North Indian, Fast Food, Chinese, Japanese, Asian, Italian",900,,Yes,No,,,,2.9,,Average,,"North Indian, Fast Food, Chinese, Japanese, Asian, Italian",900
Domino's Pizza,,New Delhi,"Plot 8, Desh Bandhu Gupta Road, Paharganj, New Delhi",,,,,"Pizza, Fast Food",700,,No,No,,,,3.1,,Average,,"Pizza, Fast Food",700
Everest Bakery Cafe,,New Delhi,"899, Chandiwaali Galli, Main Bazar, Paharganj, New Delhi",,,,,"Cafe, Fast Food, Asian, Italian",700,,No,No,,,,2.8,,Average,,"Cafe, Fast Food, Asian, Italian",700
Everest Kitchen,,New Delhi,"1171-1175, Main Market, Paharganj, New Delhi",,,,,"North Indian, Chinese, Tibetan, Italian, Fast Food",550,,No,No,,,,3.2,,Average,,"North Indian, Chinese, Tibetan, Italian, Fast Food",550
Exotic Rooftop Restaurant,,New Delhi,"4792, Main Bazar, 6 Tooti Chowk, Paharganj, New Delhi",,,,,"Chinese, Thai, Seafood, North Indian, Italian",600,,No,Yes,,,,3,,Average,,"Chinese, Thai, Seafood, North Indian, Italian",600
Flavours,,New Delhi,"7972, Arakshan Road, Paharganj, New Delhi",,,,,"North Indian, Chinese, South Indian",500,,No,No,,,,2.9,,Average,,"North Indian, Chinese, South Indian",500
Gagan Assam Bengal Restaurant,,New Delhi,"7974, Arakashan Road, Paharganj, New Delhi",,,,,"North Indian, Bengali",300,,No,No,,,,2.9,,Average,,"North Indian, Bengali",300
Gold Resto Bar,,New Delhi,"4350, Main Bazaar, Paharganj, New Delhi",,,,,"North Indian, Chinese",850,,Yes,No,,,,2.9,,Average,,"North Indian, Chinese",850
Grand Madras Cafe,,New Delhi,"8301/4, Multani Dhanda, Paharganj, New Delhi",,,,,South Indian,250,,No,No,,,,2.9,,Average,,South Indian,250
Green Chilli,,New Delhi,"Roxy Hotel, 2351, Raj Guru Road, Chuna Mandi, Paharganj, New Delhi",,,,,"North Indian, Chinese, Continental",800,,Yes,No,,,,2.8,,Average,,"North Indian, Chinese, Continental",800
Gurdev Punjabi Restaurant,,New Delhi,"8563, Arakashan Road, Paharganj, New Delhi",,,,,North Indian,200,,No,No,,,,3,,Average,,North Indian,200
Haji Irshad Biryani Centre,,New Delhi,"BB-94, Amar Puri, Nabi Karim, Paharganj, New Delhi",,,,,Biryani,200,,No,No,,,,3,,Average,,Biryani,200
Hungerzz Grill,,New Delhi,"Gali 4, Multani Dhanda, Near Hotel R, Paharganj, New Delhi",,,,,Fast Food,250,,No,No,,,,3,,Average,,Fast Food,250
Janta Sweets,,New Delhi,"9360 61/8, Multani Dhanda",,,,,"Street Food, Mithai",200,,No,No,,,,3,,Average,,"Street Food, Mithai",200
Khosla Cafe,,New Delhi,"5024, Main Bazaar, Paharganj, New Delhi",,,,,"North Indian, Chinese, Fast Food",400,,No,No,,,,3.2,,Average,,"North Indian, Chinese, Fast Food",400
King Bar & Restaurant,,New Delhi,"7/7, Desh Bandhu Gupta Road, Paharganj, New Delhi",,,,,"North Indian, Chinese, Continental",900,,Yes,No,,,,3,,Average,,"North Indian, Chinese, Continental",900
Le Fairway Restaurant & Bar,,New Delhi,"Hotel Le Roi 2206, Rajguru Road, Chuna Mandi, Paharganj, New Delhi",,,,,"North Indian, Continental",1000,,Yes,No,,,,3.1,,Average,,"North Indian, Continental",1000
Madan Cafe & Restaurant,,New Delhi,"1601, Main Bazaar, Paharganj, New Delhi",,,,,"North Indian, Chinese, Fast Food",300,,No,No,,,,3.1,,Average,,"North Indian, Chinese, Fast Food",300
Malhotra Restaurant,,New Delhi,"1833-34, Laxmi Narain Street, Chuna Mandi, Paharganj, New Delhi",,,,,"North Indian, Chinese, Continental, Italian",800,,Yes,No,,,,2.9,,Average,,"North Indian, Chinese, Continental, Italian",800
Metropolis Bar,,New Delhi,"1634, Main Bazaar, Paharganj, New Delhi",,,,,"Chinese, Continental, North Indian",700,,No,No,,,,3,,Average,,"Chinese, Continental, North Indian",700
Mikky Restaurant,,New Delhi,"2-3, Ram Nagar Market, Paharganj, New Delhi",,,,,North Indian,800,,No,No,,,,2.8,,Average,,North Indian,800
Mourya Sweets Chat Bhandar,,New Delhi,"9922 23/5, Multani Dhanda, Paharganj, New Delhi",,,,,"Fast Food, Chinese, Mithai, Street Food",200,,No,No,,,,2.9,,Average,,"Fast Food, Chinese, Mithai, Street Food",200
My Bar & Restaurant,,New Delhi,"5136, Main Bazaar, Near Rama Krishna Ashram Metro Station, Paharganj, New Delhi",,,,,"North Indian, Chinese, Italian, Continental",700,,No,No,,,,3.2,,Average,,"North Indian, Chinese, Italian, Continental",700
My Love Restaurant & Bar,,New Delhi,"23-B, Panchkuian Road, Near RK Ashram Marg Metro Station, Paharganj, New Delhi",,,,,"North Indian, Mughlai, Chinese",1000,,Yes,No,,,,2.7,,Average,,"North Indian, Mughlai, Chinese",1000
Organic German Bakeshop - Brown Bread Bakery,,New Delhi,"5084-A, Ajay Guest House, Opposite Khanna Cinema, Main Bazar, Paharganj, New Delhi",,,,,"Fast Food, Continental, Italian, Bakery",600,,No,No,,,,3.2,,Average,,"Fast Food, Continental, Italian, Bakery",600
Paankhuri Restaurant,,New Delhi,"51, Aara Kashan Road, Paharganj, New Delhi",,,,,North Indian,500,,No,No,,,,3,,Average,,North Indian,500
Pardeep Corner,,New Delhi,"9005, Chowk Multani Dhanda, Paharganj, New Delhi",,,,,North Indian,300,,No,No,,,,3.3,,Average,,North Indian,300
Pehalwan Da Hotel,,New Delhi,"22, Amrit Kaur Market, Opposite New Delhi Railway Station, Paharganj, New Delhi",,,,,Mughlai,350,,No,No,,,,3.1,,Average,,Mughlai,350
Pizza Hut Delivery,,New Delhi,"Shop 8709-10, Desh Bandhu Gupta Marg, Paharganj, New Delhi",,,,,"Italian, Pizza, Fast Food",800,,No,Yes,,,,2.8,,Average,,"Italian, Pizza, Fast Food",800
Re Cafe,,New Delhi,"8591, Hotel Bloom Rooms, Arakashan Road, Paharganj, New Delhi",,,,,"Continental, Fast Food",1300,,Yes,No,,,,3.1,,Average,,"Continental, Fast Food",1300
Rumi Amritsari Naan,,New Delhi,"2358, Chuna Mandi, Paharganj, New Delhi",,,,,"North Indian, Chinese",200,,No,No,,,,3.2,,Average,,"North Indian, Chinese",200
Sagar Bar-Be Que,,New Delhi,"Plot 1, 80, A Block, Krishna Market, Behind RK Ashram Metro Station, Paharganj, New Delhi",,,,,"North Indian, Mughlai",500,,No,Yes,,,,2.7,,Average,,"North Indian, Mughlai",500
Satyam Rooftop Restaurant,,New Delhi,"659, Top Floor, Tooti Chowk, Main Bazar, Paharganj, New Delhi",,,,,"North Indian, Chinese, Fast Food",600,,No,No,,,,2.9,,Average,,"North Indian, Chinese, Fast Food",600
Sethi Restaurant,,New Delhi,"3077, D.B. Gupta Road, Paharganj, New Delhi",,,,,"North Indian, Mughlai",800,,No,No,,,,2.8,,Average,,"North Indian, Mughlai",800
Shri Bankey Bihari Samosa Wala,,New Delhi,"3177, Sangatrashan, Paharganj, New Delhi",,,,,Street Food,100,,No,No,,,,3.1,,Average,,Street Food,100
Sonu South Indian Restaurant,,New Delhi,"8894/2, Multani Dhanda, Paharganj, New Delhi",,,,,"South Indian, North Indian",300,,No,No,,,,2.9,,Average,,"South Indian, North Indian",300
Southern Welcome Restaurant,,New Delhi,"7876, Arakashan Road, Paharganj, New Delhi",,,,,"South Indian, North Indian",250,,No,No,,,,2.7,,Average,,"South Indian, North Indian",250
Swagat Dhaba,,New Delhi,"5137, Main Bazaar, Opposite Metropolis Bar, Paharganj, New Delhi",,,,,North Indian,200,,No,No,,,,2.7,,Average,,North Indian,200
Tadka 4986,,New Delhi,"4986, Ram Dwara Road, Nehru Bazaar, Paharganj, New Delhi",,,,,"Chinese, Italian, North Indian",600,,No,No,,,,3.4,,Average,,"Chinese, Italian, North Indian",600
The Drunkyard Cafe,,New Delhi,"Shop 1077, Main Bazar, Paharganj, New Delhi",,,,,"North Indian, Chinese, Continental, Thai",850,,Yes,No,,,,3,,Average,,"North Indian, Chinese, Continental, Thai",850
The Gem Bar & Restaurant,,New Delhi,"1050, Main Bazaar, Paharganj, New Delhi",,,,,"Continental, North Indian, Chinese",1400,,Yes,No,,,,3.2,,Average,,"Continental, North Indian, Chinese",1400
The Indian Grill Restaurant,,New Delhi,"8501/15, Arakashan Road, Paharganj, New Delhi",,,,,"North Indian, Continental",600,,No,No,,,,2.8,,Average,,"North Indian, Continental",600
True Blue,,New Delhi,"11, Qutub Road, Ramnagar, Paharganj, New Delhi",,,,,"North Indian, Mughlai, Chinese",900,,Yes,No,,,,3,,Average,,"North Indian, Mughlai, Chinese",900
U Like,,New Delhi,"3083, Raj Guru Road, Chuna Mandi, Paharganj, New Delhi",,,,,North Indian,600,,No,No,,,,3,,Average,,North Indian,600
Vaga Bond,,New Delhi,"Hotel Ajanta, 8647, Arakashan Road, Paharganj, New Delhi",,,,,"North Indian, Chinese, Continental",550,,No,No,,,,2.9,,Average,,"North Indian, Chinese, Continental",550
Vrinda Vaishno Dhaba,,New Delhi,"5585, Basant Road Lane, Paharganj, New Delhi",,,,,North Indian,200,,No,No,,,,2.8,,Average,,North Indian,200
White Heart Restro Bar,,New Delhi,"Hotel Star View, 5136/1, Main Bazaar, Paharganj, New Delhi",,,,,North Indian,1100,,Yes,No,,,,2.7,,Average,,North Indian,1100
Haldiram Bhujiawala,,New Delhi,"8730-33, D.B. Gupta Road, Paharganj, New Delhi",,,,,"Street Food, North Indian, South Indian, Mithai",400,,No,No,,,,3.5,,Good,,"Street Food, North Indian, South Indian, Mithai",400
Maa Bhagwati,,New Delhi,"3504, Dariba Pan, Paharganj, New Delhi",,,,,North Indian,400,,No,No,,,,3.5,,Good,,North Indian,400
Cafe Brownie,,New Delhi,"8501/15, Grand Godwin Hotel, Aarakshan Road, Paharganj, New Delhi",,,,,"Cafe, Italian",600,,No,No,,,,0,,Not rated,,"Cafe, Italian",600
Cafexpress,,New Delhi,"Nawab Road, Behind Sadar Thana, Paharganj, New Delhi",,,,,Beverages,100,,No,No,,,,0,,Not rated,,Beverages,100
Mauja Hi Mauja,,New Delhi,"Main Sadar Thana Road, Near Bara Tuti Chowk, Paharganj, New Delhi",,,,,Street Food,100,,No,No,,,,0,,Not rated,,Street Food,100
Metro Bar & Family Restaurant,,New Delhi,"Pillar 13, Panchkuian Road, Paharganj, New Delhi",,,,,"North Indian, Chinese",1000,,No,No,,,,0,,Not rated,,"North Indian, Chinese",1000
Bajaj Vaishno Dhaba,,New Delhi,"117, Amrit Kaur Market, Opposite New Delhi Railway Station Gate 2, Paharganj, New Delhi",,,,,North Indian,400,,No,No,,,,2.2,,Poor,,North Indian,400
Sita Ram Diwan Chand,,New Delhi,"2246, Chuna Mandi, Paharganj, New Delhi",,,,,Street Food,100,,No,Yes,,,,4.3,,Very Good,,Street Food,100
Aayush Food Plaza,,New Delhi,"Main Road, Sadh Nagar, Palam, New Delhi",,,,,"Chinese, Fast Food",300,,No,No,,,,2.9,,Average,,"Chinese, Fast Food",300
Ankit Fast Food Corner,,New Delhi,"Opposite Sanjhi Rasoi, Dabri Road, Palam, New Delhi",,,,,Chinese,200,,No,No,,,,2.9,,Average,,Chinese,200
Da Pizza Corner,,New Delhi,"Rz-36A, Raj Nagar Part 1,Palam Colony, Opposite Piller 47, Palam, New Delhi",,,,,"Fast Food, Pizza",600,,No,No,,,,3,,Average,,"Fast Food, Pizza",600
Mughal Zaika Chicken Point,,New Delhi,"Shop 4, K.H 83/8/1, Mahavir Enclave, Main Dabri Road, Palam, New Delhi",,,,,"North Indian, Mughlai, Chinese",400,,No,No,,,,2.9,,Average,,"North Indian, Mughlai, Chinese",400
Nawab Restaurant,,New Delhi,"WZ 613, Raj Nagar, Palam Colony, Palam, New Delhi",,,,,"North Indian, Mughlai",400,,No,No,,,,2.9,,Average,,"North Indian, Mughlai",400
New Bikaner Sweets,,New Delhi,"D 105, Street 6, Mahavir Enclave, Main Palam Dabri Road, Palam, New Delhi",,,,,"Street Food, Desserts",200,,No,No,,,,3,,Average,,"Street Food, Desserts",200
Pizza Yum,,New Delhi,"D-1/23, Street 5, Mahavir Enclave, Palam Dabri Road, Palam, New Delhi",,,,,"Pizza, Fast Food",650,,No,No,,,,2.7,,Average,,"Pizza, Fast Food",650
Radhika Sweets,,New Delhi,"Sadh Nagar Main Road, Palam, New Delhi",,,,,"Desserts, Street Food",100,,No,No,,,,2.9,,Average,,"Desserts, Street Food",100
Satguru Di Hatti,,New Delhi,"Main Road, Palam Gaon, Palam, New Delhi",,,,,North Indian,200,,No,No,,,,2.8,,Average,,North Indian,200
Sher-E-Punjab,,New Delhi,"WZ 613, Main Market, Palam Colony, Palam, New Delhi",,,,,North Indian,450,,No,No,,,,3,,Average,,North Indian,450
Shudh Vaishno Amritsari Naan,,New Delhi,"Near Hero Showroom, Dabri Road, Palam, New Delhi",,,,,North Indian,150,,No,No,,,,3,,Average,,North Indian,150
Sumit Sweets,,New Delhi,"1, WZ 10, Opposite Gol Chakkar, Palam, New Delhi",,,,,"Mithai, Street Food",100,,No,No,,,,2.8,,Average,,"Mithai, Street Food",100
Aggarwal Bikaner Wala,,New Delhi,"Near Gol Chakkar, Palam Colony, Palam, New Delhi",,,,,"Mithai, Street Food",100,,No,No,,,,0,,Not rated,,"Mithai, Street Food",100
Aggarwal Sweet Centre,,New Delhi,"Main Road, Kailashpuri, Palam, New Delhi",,,,,North Indian,150,,No,No,,,,0,,Not rated,,North Indian,150
Aggarwal Sweet India,,New Delhi,"C-156, Mahavir Enclave Part 3, Palam, New Delhi",,,,,Mithai,100,,No,No,,,,0,,Not rated,,Mithai,100
Aggarwal Sweets Centre,,New Delhi,"23/A, Main Road, Indira Park, Palam, New Delhi",,,,,"Mithai, Street Food, North Indian, South Indian",200,,No,No,,,,0,,Not rated,,"Mithai, Street Food, North Indian, South Indian",200
Aggarwal Sweets,,New Delhi,"23-A/1, Main Road, Indra Park, Palam Colony, Palam, New Delhi",,,,,North Indian,300,,No,No,,,,0,,Not rated,,North Indian,300
Anupama Snacks and Sweets Corner,,New Delhi,"RZ H2/15, Bengali Colony, Mahavir Enclave, Palam, New Delhi",,,,,Mithai,100,,No,No,,,,0,,Not rated,,Mithai,100
Baba Ka Dhaba,,New Delhi,"WZ-425, Main Road, Palam Colony, Opposite Railway Crossing, Palam, New Delhi",,,,,North Indian,200,,No,No,,,,0,,Not rated,,North Indian,200
Balaji Eating Point,,New Delhi,"Pradhan Chowk, Sadh Nagar, Palam Colony, Palam, New Delhi",,,,,North Indian,200,,No,No,,,,0,,Not rated,,North Indian,200
Bhagat Ji Sweets,,New Delhi,"Kailash Puri Road, Sagar Pur, Palam, New Delhi",,,,,Fast Food,200,,No,No,,,,0,,Not rated,,Fast Food,200
Bikaner Sweet Corner,,New Delhi,"Near Manglapuri Terminal, Palam, New Delhi",,,,,"Mithai, Street Food",100,,No,No,,,,0,,Not rated,,"Mithai, Street Food",100
Chavi Food Point,,New Delhi,"RZ 12A, Main Market, Indira Park, Palam, New Delhi",,,,,North Indian,350,,No,No,,,,0,,Not rated,,North Indian,350
Cook & Connect,,New Delhi,"C 118, Palam Dabri Road, Palam, New Delhi",,,,,"North Indian, Mughlai, Chinese",600,,No,No,,,,0,,Not rated,,"North Indian, Mughlai, Chinese",600
Dinesh Ka Mithila Dhaba,,New Delhi,"Main Road, Mahavir Enclave Part 3, Palam, New Delhi",,,,,North Indian,150,,No,No,,,,0,,Not rated,,North Indian,150
Domino's Pizza,,New Delhi,"Puran Nagar Main Road, Palam Colony, Palam, New Delhi",,,,,"Pizza, Fast Food",700,,No,No,,,,0,,Not rated,,"Pizza, Fast Food",700
Flavors Of London,,New Delhi,"RZ-1101/C, Gali 11, Sadh Nagar, Palam, New Delhi",,,,,"Desserts, Ice Cream, Fast Food",200,,No,No,,,,0,,Not rated,,"Desserts, Ice Cream, Fast Food",200
Flavours Of London,,New Delhi,"RZ-1101/C, Gali 11, Sadh Nagar, Palam Colony, Palam, New Delhi",,,,,"Ice Cream, Bakery",200,,No,No,,,,0,,Not rated,,"Ice Cream, Bakery",200
Foji Bhai Hotel,,New Delhi,"Main Road, Sadh Nagar, Near Sabji Mandi, Palam, New Delhi",,,,,North Indian,100,,No,No,,,,0,,Not rated,,North Indian,100
Green Chilli,,New Delhi,"Gurudwara Road, Mahavir Enclave, Palam, New Delhi",,,,,Chinese,200,,No,No,,,,0,,Not rated,,Chinese,200
Hook N Cook,,New Delhi,"Rzg-1 Nanda Block, Mahavir Enclave, Palam, New Delhi",,,,,Chinese,600,,No,No,,,,0,,Not rated,,Chinese,600
Hyderabadi & Muradabadi Chicken Corner,,New Delhi,"RZ A1, Near Mothers Pride School, Palam Dabri Road, Palam, New Delhi",,,,,Mughlai,450,,No,No,,,,0,,Not rated,,Mughlai,450
It's Pizza Town,,New Delhi,"WZ 61A/20, Gandhi Market, Vashisht Park, West Sagar Pur, Palam, New Delhi",,,,,"Pizza, Fast Food",500,,No,No,,,,0,,Not rated,,"Pizza, Fast Food",500
ITO Ke Mashoor Chole Bhature,,New Delhi,"Main Road, Mahavir Enclave 3, Palam, New Delhi",,,,,Street Food,100,,No,No,,,,0,,Not rated,,Street Food,100
Janta Special Lassi Corner,,New Delhi,"Main Market, Palam Colony, Palam, New Delhi",,,,,Street Food,150,,No,No,,,,0,,Not rated,,Street Food,150
Kairi The Royal Taste,,New Delhi,"RZA 6, Dabri Extension, Opposite Dada Dev Hospital, Palam, New Delhi",,,,,"North Indian, South Indian, Chinese",400,,No,No,,,,0,,Not rated,,"North Indian, South Indian, Chinese",400
Kasba,,New Delhi,"WZ-255A, Gali 3, Sadh Nagar, Ram Chowk Market Palam, Palam, New Delhi",,,,,Chinese,250,,No,No,,,,0,,Not rated,,Chinese,250
Kayasthas Food Junction,,New Delhi,"RZ-46 C/5, Gali 1, Gandhi Market, Main Sagarpur, New Delhi",,,,,"Chinese, Fast Food",200,,No,No,,,,0,,Not rated,,"Chinese, Fast Food",200
KGN Chicken Corner,,New Delhi,"Near City Store, Palam Dabri Road, Palam, New Delhi",,,,,Mughlai,350,,No,No,,,,0,,Not rated,,Mughlai,350
Maggi Point,,New Delhi,"Street 1, Mahavir Enclave Part 1, Mahavir Enclave, Palam, New Delhi",,,,,"Chinese, North Indian",350,,No,No,,,,0,,Not rated,,"Chinese, North Indian",350
Momozone,,New Delhi,"RZ - A/15, Dwarka Puri, Vijay Enclave, Palam, New Delhi",,,,,Fast Food,150,,No,No,,,,0,,Not rated,,Fast Food,150
Munna Bakery,,New Delhi,"60 Feet Road, Sadh Nagar, Palam, New Delhi",,,,,Bakery,100,,No,No,,,,0,,Not rated,,Bakery,100
N.S. Pizza Point,,New Delhi,"Main Road, Mahavir Enclave, Part 3, Palam, New Delhi",,,,,Pizza,200,,No,No,,,,0,,Not rated,,Pizza,200
Nand Bhai Chholey Bhature,,New Delhi,"Near Pillar 59, Main Road, Palam Colony, Palam, New Delhi",,,,,Street Food,100,,No,No,,,,0,,Not rated,,Street Food,100
New Lazeez Tandoor,,New Delhi,"B-1, Shop 4, Gurudwara Road, Mahavir Enclave, Palam Dabri Road, Palam, New Delhi",,,,,"North Indian, Chinese",500,,No,No,,,,0,,Not rated,,"North Indian, Chinese",500
Pizza Day,,New Delhi,"Ram Chowk, Sadh Nagar, Palam, New Delhi",,,,,"Pizza, Fast Food",500,,No,No,,,,0,,Not rated,,"Pizza, Fast Food",500
Pizza Day,,New Delhi,"Ram Chowk, Main Market, Palam Colony, Palam, New Delhi",,,,,"Pizza, Fast Food",500,,No,Yes,,,,0,,Not rated,,"Pizza, Fast Food",500
Pritam Tiffin Service,,New Delhi,"RZ-15B, Main Road, Near Ardent Hospital, Palam, New Delhi",,,,,North Indian,100,,No,No,,,,0,,Not rated,,North Indian,100
Rana Sweets and Restaurant,,New Delhi,"Shop 180, Rajnagar Part 2, Palam Colony, Palam, New Delhi",,,,,"North Indian, Fast Food, Mithai",200,,No,No,,,,0,,Not rated,,"North Indian, Fast Food, Mithai",200
Rastogi Sweets & Caterers,,New Delhi,"Near Bros Grillz, Main Road, Palam Colony, Palam, New Delhi",,,,,"Mithai, Street Food",100,,No,No,,,,0,,Not rated,,"Mithai, Street Food",100
Recipe Tadka,,New Delhi,"D 1/252, Street 5, Mahavir Enclave, Palam, New Delhi",,,,,North Indian,500,,No,No,,,,0,,Not rated,,North Indian,500
Sahi Pakde Hain,,New Delhi,"WZ- Gali 3, Jal Jeera Wali Gali, Sadh Nagar, Ram Chowk Market, Palam Colony, Palam, New Delhi",,,,,"North Indian, Mughlai, Chinese",550,,No,No,,,,0,,Not rated,,"North Indian, Mughlai, Chinese",550
Sher e Punjab Rasoi,,New Delhi,"WZ - 427A, Raj Nagar, Palam Colony, Palam, New Delhi",,,,,North Indian,400,,No,No,,,,0,,Not rated,,North Indian,400
Shyam Rasoi,,New Delhi,"RZ-16-B, Kailash Puri Road, Main Sagar Pur, Palam, New Delhi",,,,,North Indian,200,,No,No,,,,0,,Not rated,,North Indian,200
Subhan Chicken Biryani,,New Delhi,"Main Road, Mahavir Enclave 3, Palam, New Delhi",,,,,Biryani,200,,No,No,,,,0,,Not rated,,Biryani,200
Surprise - Bakers & Bites,,New Delhi,"RZD 1/366, Street 5, Mahavir Enclave, Palam, New Delhi",,,,,"Bakery, Fast Food",400,,No,No,,,,0,,Not rated,,"Bakery, Fast Food",400
The Night Rider,,New Delhi,"Palam Colony, Vijay Enclave, Near Shani Mandir, Dashrathpuri, Palam, New Delhi",,,,,"North Indian, Chinese",500,,No,No,,,,0,,Not rated,,"North Indian, Chinese",500
Vikram Ji Snacks,,New Delhi,"Main Market, Palam Colony, Palam, New Delhi",,,,,Fast Food,200,,No,No,,,,0,,Not rated,,Fast Food,200
Yadav Chaat Bhandar,,New Delhi,"14/5 Sadh Nagar, Near Rajasthani Hotel, Palam, New Delhi",,,,,Street Food,100,,No,No,,,,0,,Not rated,,Street Food,100
Yadav Ji Chholey Bhature,,New Delhi,"Main Road, Mahavir Enclave, Part 3, Palam, New Delhi",,,,,Street Food,50,,No,No,,,,0,,Not rated,,Street Food,50
Burger King,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Burger, Fast Food",500,,No,No,,,,3.2,,Average,,"Burger, Fast Food",500
Chaayos,,New Delhi,"Ground Floor, Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Cafe, Tea",400,,No,Yes,,,,3.2,,Average,,"Cafe, Tea",400
Berco's,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Chinese, Thai",900,,No,No,,,,0,,Not rated,,"Chinese, Thai",900
Chicago Pizza,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,Pizza,600,,No,No,,,,0,,Not rated,,Pizza,600
Domino's Pizza,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Pizza, Fast Food",700,,No,No,,,,0,,Not rated,,"Pizza, Fast Food",700
Dunkin' Donuts,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Burger, Desserts, Fast Food",600,,No,No,,,,0,,Not rated,,"Burger, Desserts, Fast Food",600
Keventers,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,Beverages,400,,No,No,,,,0,,Not rated,,Beverages,400
Khan Chacha,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Mughlai, North Indian",650,,No,No,,,,0,,Not rated,,"Mughlai, North Indian",650
Wow! Momo,,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi",,,,,"Chinese, Fast Food",350,,No,No,,,,0,,Not rated,,"Chinese, Fast Food",350
Aalis Kathi Kabab,,New Delhi,"Shop 4, Panchsheel Enclave Market, Panchsheel Park, New Delhi",,,,,"Fast Food, North Indian",400,,No,No,,,,3.3,,Average,,"Fast Food, North Indian",400
Dill's Chawla Chik Inn,,New Delhi,"1, Panchseel Enclave Market, Panchsheel Park, New Delhi",,,,,"North Indian, Mughlai",550,,No,Yes,,,,3.4,,Average,,"North Indian, Mughlai",550
Ipshita's Cakes Mamma Bakes,,New Delhi,"C7, Soami Nagar South, Panchsheel Park, New Delhi",,,,,Bakery,700,,No,No,,,,3.1,,Average,,Bakery,700
Big Wong,,New Delhi,"28, Shopping Complex, Panchsheel Park, New Delhi",,,,,"Chinese, Thai",900,,No,Yes,,,,4.3,,Very Good,,"Chinese, Thai",900
Giani's,,New Delhi,"Pandara Road Market, New Delhi",,,,,"Ice Cream, Desserts",400,,No,No,,,,3.3,,Average,,"Ice Cream, Desserts",400
Baskin Robbins,,New Delhi,"20, Muncipal Market, Pandara Road Market, New Delhi",,,,,Ice Cream,300,,No,No,,,,3.5,,Good,,Ice Cream,300
Chicken Inn,,New Delhi,"13-15, Pandara Road Market, New Delhi",,,,,"North Indian, Mughlai, Chinese",1500,,Yes,Yes,,,,3.6,,Good,,"North Indian, Mughlai, Chinese",1500
Ichiban,,New Delhi,"9, Pandara Road Market, New Delhi",,,,,"Chinese, Thai, Japanese",1200,,Yes,Yes,,,,3.9,,Good,,"Chinese, Thai, Japanese",1200
Krishna Di Kulfi,,New Delhi,"Shop 7, Pandara Road Market, New Delhi",,,,,"Ice Cream, Desserts",200,,No,No,,,,3.8,,Good,,"Ice Cream, Desserts",200
Pindi,,New Delhi,"16, Pandara Road Market, New Delhi",,,,,"North Indian, Mughlai, Chinese",1700,,Yes,Yes,,,,3.8,,Good,,"North Indian, Mughlai, Chinese",1700
